Year,Attend/G,HR,SO,SV,SO9,game_time_seconds
1871,1439.0,0.19,0.69,0.02,0.7,7260.0
1872,1439.0,0.1,0.72,0.02,0.7,7260.0
1873,1439.0,0.12,0.7,0.02,0.7,7260.0
1874,1439.0,0.09,0.77,0.01,0.8,7260.0
1875,1439.0,0.06,0.98,0.03,1.0,7260.0
1876,1439.0,0.08,1.13,0.03,1.1,7260.0
1877,1439.0,0.07,2.02,0.01,2.0,7260.0
1878,1439.0,0.06,2.94,0.0,2.9,7260.0
1879,1439.0,0.09,2.87,0.0,2.9,7260.0
1880,1439.0,0.09,2.93,0.02,3.0,7260.0
1881,1439.0,0.11,2.65,0.0,2.7,7260.0
1882,1439.0,0.16,1.89,0.0,3.0,7260.0
1883,1439.0,0.15,1.83,0.01,3.4,7260.0
1884,1439.0,0.22,1.41,0.01,5.0,7260.0
1885,1439.0,0.18,1.87,0.01,3.8,7260.0
1886,1439.0,0.2,2.02,0.01,4.5,7260.0
1887,1439.0,0.29,2.8,0.01,2.9,7260.0
1888,1439.0,0.24,3.77,0.01,3.8,7260.0
1889,1439.0,0.31,3.52,0.02,3.6,7260.0
1890,1439.0,0.24,2.05,0.01,3.5,7260.0
1891,2414.0,0.26,3.45,0.02,3.5,7260.0
1892,1978.0,0.23,3.25,0.01,3.3,7260.0
1893,2834.0,0.29,2.13,0.02,2.2,7260.0
1894,3038.0,0.39,2.09,0.02,2.2,7260.0
1895,3616.0,0.31,2.27,0.03,2.4,7245.882352941177
1896,3662.0,0.26,2.22,0.02,2.3,7231.764705882353
1897,3559.0,0.23,2.31,0.02,2.4,7217.64705882353
1898,2575.0,0.16,2.3,0.01,2.4,7203.529411764706
1899,2753.0,0.19,2.09,0.02,2.2,7189.411764705882
1900,3215.0,0.22,2.36,0.01,2.4,7175.294117647059
1901,3246.0,0.21,3.15,0.02,3.2,7161.176470588235
1902,3482.0,0.16,2.97,0.01,3.0,7147.058823529412
1903,4250.0,0.15,3.55,0.02,3.6,7132.941176470588
1904,4554.0,0.13,3.73,0.02,3.8,7118.823529411765
1905,4733.0,0.14,3.85,0.02,3.9,7104.705882352941
1906,4657.0,0.11,3.71,0.04,3.8,7090.588235294118
1907,4897.0,0.1,3.58,0.04,3.6,7076.470588235294
1908,5726.0,0.11,3.65,0.04,3.7,7062.35294117647
1909,5831.0,0.1,3.78,0.05,3.8,7048.235294117647
1910,4969.0,0.14,3.87,0.05,3.9,7034.117647058823
1911,5312.0,0.21,3.99,0.06,4.0,7020.0
1912,4869.0,0.18,3.93,0.05,4.0,6960.0
1913,5152.0,0.19,3.76,0.07,3.9,6960.0
1914,3546.0,0.19,3.93,0.06,4.0,7080.0
1915,3907.0,0.17,3.76,0.06,3.8,6780.0
1916,5215.0,0.15,3.82,0.07,3.8,6786.666666666667
1917,4186.0,0.13,3.48,0.07,3.5,6793.333333333333
1918,3031.0,0.12,2.92,0.06,2.9,6800.0
1919,5842.0,0.2,3.06,0.04,3.1,6806.666666666667
1920,7391.0,0.24,2.43,0.06,3.2,6813.333333333333
1921,7003.0,0.36,2.22,0.07,3.1,6820.0
1922,7121.0,0.43,2.29,0.06,3.1,6826.666666666667
1923,7033.0,0.41,2.13,0.07,3.1,6833.333333333333
1924,7795.0,0.36,1.94,0.06,3.1,6840.0
1925,7769.0,0.5,1.9,0.06,3.0,6900.0
